Episodes,Title,Writers,Directors,Rating,Num_Votes,Dwight_positive_score,Dwight_neutral_score,Dwight_negative_score,Dwight_compound_score,Jim_positive_score,Jim_neutral_score,Jim_negative_score,Jim_compound_score,Pam_positive_score,Pam_neutral_score,Pam_negative_score,Pam_compound_score,Kevin_positive_score,Kevin_neutral_score,Kevin_negative_score,Kevin_compound_score,Angela_positive_score,Angela_neutral_score,Angela_negative_score,Angela_compound_score,Stanley_positive_score,Stanley_neutral_score,Stanley_negative_score,Stanley_compound_score,Phyllis_positive_score,Phyllis_neutral_score,Phyllis_negative_score,Phyllis_compound_score,Oscar_positive_score,Oscar_neutral_score,Oscar_negative_score,Oscar_compound_score,Andy_positive_score,Andy_neutral_score,Andy_negative_score,Andy_compound_score,Ryan_positive_score,Ryan_neutral_score,Ryan_negative_score,Ryan_compound_score,Kelly_positive_score,Kelly_neutral_score,Kelly_negative_score,Kelly_compound_score,Meredith_positive_score,Meredith_neutral_score,Meredith_negative_score,Meredith_compound_score,Michael_positive_score,Michael_neutral_score,Michael_negative_score,Michael_compound_score,Creed_positive_score,Creed_neutral_score,Creed_negative_score,Creed_compound_score,Toby_positive_score,Toby_neutral_score,Toby_negative_score,Toby_compound_score,Darryl_positive_score,Darryl_neutral_score,Darryl_negative_score,Darryl_compound_score,Erin_positive_score,Erin_neutral_score,Erin_negative_score,Erin_compound_score
Episode 147,Christmas Wishes,Mindy Kaling, Ed Hemls  ,7.9,2542,0.135,0.786,0.08,0.9438,0.184,0.789,0.027,0.9957,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.279,0.721,0.0,0.6996,0.147,0.779,0.074,0.7434,0.114,0.886,0.0,0.5158,0.078,0.882,0.04,0.4667,0.221,0.727,0.052,0.9993,0.223,0.777,0.0,0.915,0.242,0.667,0.092,0.7906,0.134,0.806,0.06,0.9039,0.0,0.0,0.0,0.0,0.146,0.854,0.0,0.6249,0.135,0.756,0.109,0.2878,0.253,0.747,0.0,0.9731,0.262,0.704,0.034,0.9966
Episode 148,Trivia,Steve Hely, B.J. Novak  ,7.9,2500,0.11,0.855,0.035,0.9736,0.234,0.749,0.017,0.9759,0.0,0.0,0.0,0.0,0.214,0.721,0.065,0.9695,0.259,0.741,0.0,0.3612,0.041,0.959,0.0,0.128,0.109,0.891,0.0,0.4215,0.224,0.717,0.058,0.9896,0.196,0.782,0.022,0.9984,0.1,0.871,0.029,0.296,0.148,0.79,0.062,0.7896,0.12,0.88,0.0,0.5305,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.768,0.033,0.93,0.07,0.93,0.0,0.372
Episode 149,Pool Party,Owen Ellickson, Charles McDougall  ,8.0,2701,0.159,0.735,0.106,0.9406,0.277,0.622,0.101,0.9957,0.0,0.0,0.0,0.0,0.089,0.85,0.061,-0.5615,0.133,0.867,0.0,0.471,0.258,0.742,0.0,0.8791,0.128,0.721,0.151,-0.4588,0.148,0.852,0.0,0.8492,0.162,0.776,0.062,0.9874,0.156,0.844,0.0,0.8271,0.242,0.6,0.158,0.7617,0.034,0.884,0.082,-0.3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.622,0.11,0.8249,0.164,0.765,0.071,0.8314,0.207,0.7,0.093,0.9961
Episode 150,Jury Duty,Aaron Shure, Eric Appel  ,7.4,2451,0.144,0.754,0.103,0.9874,0.168,0.799,0.034,0.9978,0.215,0.737,0.048,0.9773,0.086,0.894,0.02,0.6334,0.149,0.828,0.023,0.9675,0.049,0.721,0.23,-0.9713,0.144,0.832,0.024,0.8253,0.12,0.861,0.019,0.9403,0.124,0.757,0.118,-0.5897,0.0,1.0,0.0,0.0,0.186,0.814,0.0,0.4939,0.135,0.762,0.103,0.1779,0.0,0.0,0.0,0.0,0.0,0.874,0.126,-0.5974,0.066,0.934,0.0,0.3595,0.189,0.761,0.05,0.9447,0.114,0.83,0.056,0.6526
Episode 151,Special Project,Amelie Gillette, David Rogers  ,7.7,2387,0.168,0.765,0.068,0.998,0.163,0.83,0.007,0.9894,0.168,0.774,0.058,0.9732,0.135,0.773,0.092,0.593,0.085,0.866,0.048,0.7044,0.182,0.818,0.0,0.9091,0.214,0.786,0.0,0.4588,0.2,0.732,0.068,0.4019,0.145,0.806,0.049,0.9902,0.2,0.758,0.042,0.9746,0.066,0.801,0.133,-0.763,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.192,0.615,0.192,0.0,0.305,0.672,0.024,0.9971,0.226,0.764,0.01,0.9887
Episode 152,Tallahassee,Daniel Chun, Matt Sohn  ,7.8,2517,0.134,0.773,0.093,0.9821,0.102,0.755,0.143,-0.8319,0.226,0.741,0.033,0.9378,0.123,0.877,0.0,0.3939,0.0,0.0,0.0,0.0,0.175,0.713,0.111,0.7989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.135,0.825,0.04,0.9691,0.135,0.865,0.0,0.8452,0.093,0.726,0.181,-0.6169,0.152,0.848,0.0,0.3612,0.0,0.0,0.0,0.0,0.455,0.545,0.0,0.8658,0.0,0.0,0.0,0.0,0.144,0.74,0.116,-0.25,0.13,0.813,0.057,0.8731
Episode 153,After Hours,Halsted Sullivan & Warren Lieberstein, Brian Baumgartner  ,8.1,2605,0.111,0.845,0.044,0.9873,0.184,0.771,0.045,0.9936,0.148,0.815,0.037,0.9406,0.118,0.882,0.0,0.4738,0.0,0.938,0.062,-0.2755,0.315,0.685,0.0,0.9432,0.148,0.783,0.07,0.4019,0.126,0.777,0.096,-0.3031,0.159,0.774,0.067,0.9693,0.226,0.774,0.0,0.984,0.096,0.813,0.091,-0.4574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.771,0.047,0.9368,0.077,0.855,0.068,0.2714
Episode 154,Test the Store,Mindy Kaling, Brent Forrester  ,7.8,2481,0.159,0.788,0.053,0.9965,0.186,0.749,0.064,0.993,0.225,0.775,0.0,0.9153,0.057,0.802,0.141,-0.8037,0.222,0.594,0.184,0.4314,0.0,1.0,0.0,0.0,0.162,0.838,0.0,0.4404,0.207,0.662,0.131,0.4682,0.158,0.717,0.125,0.7444,0.124,0.78,0.097,0.78,0.245,0.706,0.05,0.9598,0.0,0.738,0.262,-0.7149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.72,0.142,-0.8105,0.069,0.892,0.039,0.264,0.155,0.775,0.07,0.9186
Episode 155,Last Day in Florida,Robert Padnick, Matt Sohn  ,7.8,2411,0.166,0.777,0.057,0.9908,0.165,0.737,0.098,0.9768,0.148,0.742,0.11,0.5478,0.181,0.741,0.078,0.9792,0.185,0.815,0.0,0.3612,0.326,0.674,0.0,0.4404,0.31,0.69,0.0,0.8202,0.195,0.753,0.053,0.8402,0.179,0.745,0.076,0.9799,0.208,0.792,0.0,0.2732,0.077,0.863,0.06,0.2523,0.583,0.417,0.0,0.4215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.121,0.839,0.041,0.897,0.072,0.916,0.012,0.9034,0.14,0.822,0.037,0.9547
Episode 156,Get the Girl,Charlie Grandy, Rainn Wilson  ,6.5,2824,0.122,0.771,0.107,0.6759,0.139,0.832,0.029,0.974,0.267,0.679,0.054,0.9907,0.146,0.743,0.111,0.2387,0.458,0.542,0.0,0.7757,0.6,0.4,0.0,0.4588,0.177,0.753,0.07,0.4588,0.252,0.748,0.0,0.5719,0.148,0.784,0.069,0.9874,0.0,1.0,0.0,0.0,0.577,0.423,0.0,0.6249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.142,0.795,0.063,0.5927,0.0,1.0,0.0,0.0,0.211,0.714,0.075,0.9929
Episode 157,Welcome Party,Steve Hely, Ed Helms  ,7.0,2495,0.192,0.713,0.095,0.9591,0.137,0.787,0.076,0.9671,0.215,0.719,0.066,0.9913,0.302,0.698,0.0,0.8736,0.195,0.74,0.065,0.8932,0.0,1.0,0.0,0.0,0.163,0.733,0.104,0.2567,0.167,0.775,0.058,0.836,0.178,0.715,0.107,0.9931,0.144,0.856,0.0,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.687,0.155,0.0516,0.0,0.0,0.0,0.0,0.05,0.731,0.219,-0.6597,0.191,0.765,0.044,0.965
Episode 158,Angry Andy,Justin Spitzer, Claire Scanlon  ,6.9,2681,0.178,0.757,0.065,0.9809,0.119,0.881,0.0,0.9235,0.271,0.626,0.103,0.9956,0.335,0.581,0.084,0.9568,0.081,0.619,0.3,-0.6876,0.0,0.577,0.423,-0.296,0.231,0.769,0.0,0.9716,0.189,0.779,0.032,0.8336,0.124,0.771,0.105,0.7699,0.176,0.762,0.062,0.996,0.286,0.681,0.034,0.9805,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.651,0.16,0.128,0.196,0.804,0.0,0.296,0.187,0.708,0.104,0.6641,0.111,0.738,0.152,-0.8565
Episode 159,Fundraiser,Owen Ellickson, David Rogers  ,7.0,2403,0.183,0.733,0.084,0.9604,0.203,0.779,0.018,0.9867,0.22,0.722,0.059,0.9786,0.1,0.732,0.169,-0.9579,0.083,0.785,0.132,-0.6083,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.061,0.787,0.153,-0.9349,0.207,0.725,0.069,0.997,0.241,0.69,0.07,0.9896,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.42,0.342,-0.5411,0.0,0.0,0.0,0.0,0.043,0.884,0.073,-0.4486,0.214,0.786,0.0,0.9431
Episode 160,Turf War,Warren Lieberstein & Halsted Sullivan, Daniel Chun  ,7.6,2326,0.117,0.835,0.048,0.9828,0.145,0.825,0.03,0.9856,0.183,0.798,0.019,0.9512,0.0,1.0,0.0,0.0,0.0,0.873,0.127,-0.7602,0.42,0.58,0.0,0.4404,0.371,0.629,0.0,0.7096,0.0,1.0,0.0,0.0,0.18,0.739,0.081,0.9869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.476,0.0,0.296,0.162,0.759,0.078,0.6808,0.0,0.0,0.0,0.0,0.073,0.842,0.085,-0.2168
Episode 161,Free Family Portrait Studio,B.J. Novak, B.J. Novak  ,7.7,2423,0.247,0.723,0.03,0.9941,0.112,0.8,0.088,0.6848,0.18,0.788,0.033,0.9397,0.13,0.791,0.079,0.2714,0.1,0.822,0.078,0.6588,0.0,0.597,0.403,-0.4019,0.157,0.843,0.0,0.5171,0.188,0.775,0.037,0.9454,0.168,0.772,0.06,0.9919,0.0,0.0,0.0,0.0,0.212,0.788,0.0,0.8225,0.085,0.654,0.261,-0.5696,0.0,0.0,0.0,0.0,0.521,0.479,0.0,0.8271,0.077,0.864,0.059,0.1779,0.226,0.729,0.045,0.9883,0.12,0.746,0.134,-0.2732
Episode 162,New Guys,Greg Daniels, Greg Daniels  ,7.6,2604,0.241,0.716,0.043,0.9989,0.137,0.803,0.059,0.9675,0.17,0.779,0.051,0.963,0.209,0.767,0.024,0.9801,0.292,0.66,0.049,0.9954,0.213,0.787,0.0,0.5574,0.0,0.25,0.75,-0.4588,0.124,0.84,0.036,0.6486,0.123,0.806,0.071,0.9552,0.0,1.0,0.0,0.0,0.0,0.861,0.139,-0.5267,0.0,0.902,0.098,-0.0772,0.0,0.0,0.0,0.0,0.21,0.666,0.124,0.6956,0.016,0.947,0.037,-0.4151,0.244,0.709,0.047,0.7177,0.153,0.847,0.0,0.9283
Episode 163,Roy's Wedding,Allison Silverman, Matt Sohn  ,7.1,2481,0.194,0.712,0.094,0.9679,0.174,0.797,0.03,0.995,0.141,0.823,0.036,0.9931,0.125,0.821,0.054,0.8529,0.144,0.745,0.112,0.4376,0.0,1.0,0.0,0.0,0.0,0.789,0.211,-0.1531,0.09,0.882,0.029,0.5803,0.23,0.756,0.014,0.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.649,0.099,0.7506,0.127,0.873,0.0,0.6369,0.138,0.834,0.028,0.9097,0.13,0.797,0.072,0.9427
Episode 164,Andy's Ancestry,"Jonathan Green, Gabe Miller", David Rogers  ,7.3,2456,0.164,0.826,0.01,0.9872,0.117,0.819,0.064,0.8862,0.2,0.757,0.044,0.9946,0.132,0.868,0.0,0.4098,0.0,0.489,0.511,-0.7412,0.29,0.71,0.0,0.6486,0.086,0.914,0.0,0.3468,0.136,0.751,0.113,0.4815,0.131,0.796,0.073,0.9841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.722,0.0,0.5374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.751,0.057,0.9904,0.183,0.765,0.052,0.9745
Episode 165,Work Bus,Greg Daniels, Bryan Cranston  ,7.8,2618,0.148,0.767,0.086,0.9916,0.12,0.837,0.043,0.9893,0.237,0.72,0.043,0.9869,0.045,0.809,0.146,-0.9112,0.193,0.807,0.0,0.6458,0.096,0.865,0.039,0.5,0.094,0.906,0.0,0.3382,0.054,0.92,0.026,0.5312,0.188,0.683,0.129,0.9767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.599,0.172,0.3278,0.0,0.0,0.0,0.0,0.211,0.673,0.117,0.2732,0.0,1.0,0.0,0.0,0.146,0.854,0.0,0.6476,0.194,0.774,0.033,0.9458
Episode 166,Here Comes Treble,Owen Ellickson, Claire Scanlon  ,7.0,2541,0.122,0.683,0.196,-0.9922,0.141,0.853,0.007,0.9885,0.096,0.88,0.024,0.9,0.293,0.576,0.13,0.8838,0.111,0.811,0.078,0.6169,0.175,0.569,0.256,-0.4019,0.0,0.0,0.0,0.0,0.157,0.843,0.0,0.4215,0.141,0.76,0.099,0.9639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.746,0.061,0.7018,0.0,0.0,0.0,0.0,0.178,0.822,0.0,0.5356,0.214,0.786,0.0,0.4588,0.068,0.932,0.0,0.3736,0.162,0.725,0.113,0.9284
Episode 167,The Boat,Dan Sterling, John Krasinski  ,7.7,2480,0.154,0.779,0.067,0.9808,0.04,0.886,0.074,0.4603,0.148,0.796,0.056,0.942,0.161,0.769,0.069,0.9639,0.043,0.788,0.169,-0.8971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.744,0.11,0.901,0.149,0.775,0.077,0.9942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.871,0.0,0.594,0.0,0.0,0.0,0.0,0.268,0.732,0.0,0.296,0.035,0.835,0.13,-0.755,0.0,0.872,0.128,-0.4215,0.242,0.733,0.025,0.9976
Episode 168,The Whale,Carrie Kemper, Rodman Flender  ,7.6,2370,0.208,0.748,0.045,0.998,0.087,0.865,0.048,0.6588,0.216,0.714,0.07,0.9969,0.192,0.808,0.0,0.4753,0.135,0.841,0.024,0.957,0.0,0.0,0.0,0.0,0.116,0.804,0.08,0.684,0.124,0.816,0.06,0.9361,0.19,0.682,0.129,0.8787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845,0.155,-0.593,0.0,0.0,0.0,0.0,0.0,0.652,0.348,-0.1531,0.337,0.663,0.0,0.946,0.0,1.0,0.0,0.0,0.201,0.746,0.053,0.9797
Episode 169,The Target,Graham Wagner, Brent Forreste  ,7.8,2466,0.157,0.764,0.078,0.9919,0.13,0.851,0.018,0.9772,0.118,0.837,0.045,0.9463,0.189,0.811,0.0,0.9463,0.124,0.801,0.075,0.8963,0.106,0.859,0.035,0.6531,0.189,0.784,0.027,0.9178,0.121,0.747,0.132,-0.8473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.817,0.04,0.5294,0.0,0.0,0.0,0.0,0.291,0.561,0.147,0.4767,0.076,0.924,0.0,0.3182,0.081,0.919,0.0,0.3839,0.228,0.734,0.038,0.8852
Episode 170,Dwight Christmas,Robert Padnick, Charles McDougall  ,8.4,2801,0.13,0.813,0.058,0.9928,0.159,0.806,0.035,0.9949,0.22,0.746,0.034,0.9869,0.23,0.706,0.063,0.9549,0.206,0.717,0.077,0.7767,0.149,0.595,0.257,-0.4588,0.177,0.803,0.02,0.9468,0.112,0.826,0.062,0.5255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.887,0.037,0.4276,0.0,0.0,0.0,0.0,0.0,0.786,0.214,-0.25,0.081,0.874,0.045,0.6961,0.108,0.892,0.0,0.9364,0.134,0.773,0.093,0.9367
Episode 171,Lice,Niki Schwartz-Wright, Rodman Flender  ,7.6,2461,0.166,0.759,0.075,0.977,0.147,0.754,0.099,0.9639,0.176,0.731,0.093,0.9953,0.144,0.762,0.094,0.7556,0.163,0.837,0.0,0.8819,0.06,0.725,0.214,-0.7256,0.138,0.76,0.102,0.2359,0.19,0.781,0.029,0.9116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.851,0.038,0.9257,0.0,0.0,0.0,0.0,0.104,0.753,0.143,-0.1298,0.0,0.0,0.0,0.0,0.18,0.772,0.048,0.9604,0.162,0.779,0.058,0.986
Episode 172,Suit Warehouse,Dan Greaney, Matt Sohn  ,7.8,2417,0.21,0.726,0.065,0.9983,0.157,0.81,0.032,0.9813,0.26,0.668,0.072,0.9954,0.132,0.848,0.02,0.8985,0.087,0.626,0.287,-0.9436,0.137,0.863,0.0,0.6229,0.0,1.0,0.0,0.0,0.139,0.829,0.032,0.9455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292,0.64,0.068,0.8977,0.0,0.0,0.0,0.0,0.194,0.806,0.0,0.4374,0.0,0.0,0.0,0.0,0.192,0.745,0.063,0.9841,0.164,0.764,0.072,0.9827
Episode 173,Customer Loyalty,Charlie Grandy, Rainn Wilson  ,7.9,2490,0.157,0.755,0.087,0.9921,0.106,0.849,0.045,0.9691,0.202,0.772,0.026,0.9984,0.094,0.88,0.026,0.6561,0.212,0.682,0.107,0.8328,0.311,0.689,0.0,0.3089,0.197,0.72,0.084,0.7757,0.138,0.811,0.051,0.6848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.629,0.0,0.6705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.328,0.557,0.115,0.924,0.142,0.791,0.066,0.9261,0.188,0.746,0.067,0.9667
Episode 174,Junior Salesman,Carrie Kemper, David Rogers  ,7.5,2360,0.217,0.731,0.051,0.9996,0.157,0.81,0.032,0.9963,0.143,0.8,0.057,0.921,0.0,1.0,0.0,0.0,0.091,0.909,0.0,0.0772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.597,0.358,-0.9217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.144,-0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.682,0.0,0.6808,0.0,1.0,0.0,0.0
Episode 175,Vandalism,Owen Ellickson, Lee Kirk  ,7.4,2355,0.179,0.767,0.055,0.9959,0.168,0.757,0.075,0.9835,0.187,0.742,0.071,0.9983,0.265,0.688,0.047,0.9672,0.1,0.766,0.134,-0.7958,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.092,0.774,0.133,-0.8453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.742,0.105,0.0258,0.0,0.0,0.0,0.0,0.225,0.775,0.0,0.4404,0.073,0.848,0.079,-0.0258,0.188,0.75,0.062,0.9935,0.223,0.756,0.022,0.9793
Episode 176,Couples Discount,Allison Silverman, Troy Miller  ,7.2,2397,0.11,0.829,0.061,0.946,0.196,0.711,0.093,0.9897,0.141,0.771,0.088,0.844,0.138,0.862,0.0,0.9062,0.115,0.885,0.0,0.6808,0.0,0.749,0.251,-0.5719,0.0,0.895,0.105,-0.8201,0.1,0.85,0.05,0.5514,0.198,0.752,0.05,0.9991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.807,0.058,0.6381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.661,0.12,0.8479,0.162,0.726,0.112,0.9421
Episode 177,Moving On,Graham Wagner, Jon Favreau  ,8.1,2614,0.156,0.79,0.054,0.9932,0.225,0.733,0.042,0.995,0.176,0.782,0.042,0.9947,0.178,0.822,0.0,0.5007,0.176,0.729,0.095,0.9528,0.0,0.651,0.349,-0.8442,0.207,0.68,0.113,0.5463,0.212,0.771,0.016,0.9846,0.191,0.704,0.106,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.853,0.0,0.7074,0.0,0.0,0.0,0.0,0.127,0.873,0.0,0.4404,0.112,0.803,0.085,0.5803,0.0,0.835,0.165,-0.8271,0.094,0.868,0.038,0.8867
Episode 178,The Farm,Paul Lieberstein, Paul Lieberstein  ,7.5,2740,0.163,0.734,0.103,0.9795,0.162,0.712,0.126,0.1154,0.14,0.785,0.075,0.949,0.213,0.689,0.099,0.8625,0.0,0.901,0.099,-0.4098,0.0,0.893,0.107,-0.34,0.221,0.719,0.06,0.9326,0.084,0.814,0.103,0.2869,0.164,0.783,0.052,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,0.157,-0.0772,0.0,0.0,0.0,0.0,0.164,0.815,0.022,0.8091,0.0,0.0,0.0,0.0,0.262,0.738,0.0,0.4939,0.0,0.865,0.135,-0.3612
Episode 179,Promos,Tim McAuliffe, Jennifer Celotta  ,8.0,2427,0.14,0.774,0.086,0.9581,0.18,0.776,0.043,0.9822,0.234,0.737,0.03,0.9965,0.109,0.891,0.0,0.7941,0.184,0.739,0.077,0.9797,0.071,0.929,0.0,0.3753,0.074,0.744,0.181,-0.6654,0.256,0.669,0.075,0.9891,0.137,0.767,0.095,0.8493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.809,0.072,0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.695,0.185,-0.4779,0.111,0.889,0.0,0.6289,0.0,1.0,0.0,0.0
Episode 180,Stairmageddon,Dan Sterling, Matt Sohn  ,8.0,2506,0.126,0.839,0.036,0.9912,0.101,0.888,0.011,0.897,0.216,0.75,0.034,0.9169,0.192,0.778,0.03,0.8798,0.331,0.605,0.064,0.9501,0.104,0.748,0.148,-0.7862,0.09,0.753,0.158,-0.2263,0.027,0.901,0.072,-0.5658,0.174,0.747,0.079,0.9919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.205,-0.4767,0.0,0.0,0.0,0.0,0.237,0.763,0.0,0.4215,0.081,0.776,0.144,-0.8879,0.0,0.0,0.0,0.0,0.091,0.909,0.0,0.8727
Episode 181,Paper Airplane,Halsted Sullivan & Warren Lieberstein, Jesse Peretz  ,8.0,2572,0.204,0.782,0.015,0.9905,0.257,0.688,0.055,0.9895,0.353,0.61,0.038,0.997,0.226,0.774,0.0,0.9273,0.218,0.698,0.084,0.9727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.272,-0.4574,0.142,0.793,0.065,0.9865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.824,0.0,0.4588,0.102,0.863,0.035,0.5386,0.148,0.789,0.063,0.5191,0.151,0.66,0.189,-0.8082
Episode 182,Livin' the Dream,Niki Schwartz-Wright, Jeffrey Blitz  ,9.1,3694,0.117,0.816,0.067,0.9816,0.242,0.707,0.051,0.9987,0.18,0.807,0.013,0.962,0.25,0.682,0.068,0.9832,0.203,0.705,0.092,0.9897,0.238,0.547,0.215,0.2869,0.334,0.666,0.0,0.9332,0.119,0.755,0.126,-0.3632,0.159,0.744,0.097,0.9953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.704,0.085,0.3612,0.0,0.0,0.0,0.0,0.0,0.84,0.16,-0.5789,0.06,0.94,0.0,0.2263,0.07,0.878,0.052,0.4682,0.196,0.727,0.077,0.9664
Episode 183,A.A.R.M.,Brent Forrester, David Rogers  ,9.5,4993,0.147,0.796,0.057,0.9981,0.161,0.761,0.078,0.9974,0.311,0.637,0.051,0.9971,0.193,0.65,0.157,0.8968,0.138,0.816,0.046,0.9557,0.191,0.746,0.063,0.6705,0.135,0.865,0.0,0.6467,0.084,0.872,0.044,0.7936,0.134,0.81,0.056,0.9909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.713,0.107,0.8228,0.0,0.0,0.0,0.0,0.098,0.902,0.0,0.5972,0.0,0.0,0.0,0.0,0.146,0.798,0.056,0.9743,0.19,0.749,0.06,0.969
Episode 184,Finale,Greg Daniels, Ken Kwapis  ,9.8,12903,0.106,0.846,0.048,0.993,0.13,0.84,0.03,0.9957,0.209,0.735,0.056,0.9992,0.189,0.778,0.033,0.9889,0.175,0.771,0.054,0.9838,0.072,0.898,0.03,0.4779,0.092,0.839,0.069,0.7149,0.114,0.85,0.036,0.8718,0.145,0.762,0.092,0.9686,0.159,0.788,0.053,0.9396,0.195,0.744,0.06,0.9604,0.217,0.71,0.073,0.9691,0.22,0.78,0.0,0.5423,0.192,0.789,0.019,0.9508,0.12,0.846,0.034,0.6844,0.142,0.797,0.061,0.952,0.212,0.683,0.105,0.9395
